1,1,count,17:45.5,steps,30
2,2,count,19:29.9,steps,50
3,2,count,19:29.9,steps,14
4,3,count,19:29.9,steps,15
5,3,count,19:29.9,steps,15
6,2,count,19:29.9,steps,37
7,1,count,19:29.9,steps,16
8,2,count,19:29.9,steps,29
9,5,count,19:29.9,steps,16
10,2,count,19:29.9,steps,9
11,3,count,19:29.9,steps,27
12,2,count,19:29.9,steps,11
13,1,count,19:29.9,steps,18
14,3,count,19:29.9,steps,20
15,5,count,19:29.9,steps,8
16,4,count,19:29.9,steps,18
17,1,count,19:29.9,steps,25
18,2,count,19:29.9,steps,40
19,4,count,19:29.9,steps,32
20,3,count,19:29.9,steps,12
21,5,count,19:29.9,steps,1
22,3,count,19:29.9,steps,4
23,2,count,19:29.9,steps,16
24,5,count,19:29.9,steps,13
25,4,count,19:29.9,steps,15
26,4,count,19:29.9,steps,3
27,1,count,19:29.9,steps,21
28,2,count,19:29.9,steps,29
